中文單位名稱,電話,緯度Lat,經度Lng
新民派出所,03 9323105,24.755357,121.755354
宜蘭分局,03 9359039,24.755359,121.755348
民族派出所,03 9322223,24.756008,121.748207
枕山派出所,03 9221993,24.758978,121.718639
忠孝派出所,03 9301984,24.764502,121.802996
寶山分駐所,03 5204139,24.765428,120.990855
二重埔派出所,03 5823504,24.766166,121.056894
朝山派出所,03 5373165,24.766246,120.914693
新生派出所,03 9284087,24.769605,121.756844
錦山派出所,03 5478174,24.772023,121.231793
玉山派出所,03 5478174,24.772023,121.231793
青草湖派出所,03 5201563,24.774052,120.966401
芎林分駐所,03 5924572,24.774903,121.081009
美城派出所,03 9303691,24.777449,121.787288
福山派出所,02  26616260,24.778518,121.50218
關東橋派出所,03 5775758,24.778914,121.018895
龍潭派出所,03 9285514,24.779955,121.740502
四城派出所,03-9284072,24.787827,121.76138
埔頂派出所,03 5773999,24.789032,121.007868
東安派出所,03 5872301,24.790129,121.182294
南華派出所,03 5872301,24.790129,121.182294
中華派出所,03 5302487,24.79168,120.926194
關西分駐所,03 5872007,24.792243,121.172635
奎輝派出所,03 3822960,24.795972,121.335106
第三分局,03 5380040,24.797625,120.942624
香山派出所,03 5386348,24.797625,120.942624
羅浮派出所,03 3822606,24.799369,121.365654
長興派出所,03 3822961,24.799637,121.307097
大福派出所,03 9301994,24.800142,121.816941
南門派出所,03 5222224,24.800156,120.967811
第二分局,03 5728750,24.801206,120.986496
東勢派出所,03 5728758,24.801493,120.986587
西門派出所,03 5222452,24.801975,120.961211
溪內派出所,03 3822958,24.803389,121.367974
東門派出所,03 5222607,24.804122,120.96982
高鐵派出所,03 6578272,24.805024,121.03825
新竹市警察局,03 5249234,24.806374,120.968546
北門派出所,03 5222223,24.808026,120.965059
三城派出所,03 9881961,24.810099,121.76687
第一分局,03 5222725,24.810305,120.955494
樹林頭派出所,03 5267652,24.810305,120.955494
石光派出所,03 5868060,24.813971,121.128436
坪林派出所,03 5868060,24.813971,121.128436
復興分駐所,03 3822604,24.814181,121.350988
文華派出所,03 5332120,24.814684,120.977117
寶石派出所,03 5882064,24.816419,121.077692
霞雲派出所,03 3822607,24.816609,121.383876
湳雅派出所,03 5356710,24.819611,120.973005
六家派出所,03 6580308,24.822371,121.03
百吉派出所,03 3885884,24.825121,121.309299
新竹縣政府警察局,03 5513523,24.826934,121.011263
礁溪分局,03 9882053,24.827202,121.773945
礁溪派出所,03 9882214,24.827202,121.773945
新埔分局,03 5882004,24.827642,121.074292
新埔派出所,03 5882034,24.828042,121.071278
竹北分局,03 5552029,24.829098,121.003416
三民派出所,03 3825605,24.832281,121.331039
三民派出所,03 5556270,24.833505,121.011119
高平派出所,03 4717204,24.835815,121.206981
信賢派出所,02  26616400,24.838242,121.526162
竹北派出所,03 5552031,24.838395,121.004991
二城派出所,03 9882654,24.83884,121.793019
南寮派出所,03 5362334,24.840402,120.937454
豐田派出所,03 5564768,24.842704,120.964138
石門派出所,03 4712021,24.842711,121.241269
褒忠派出所,03 5882094,24.843161,121.035926
照門派出所,03 5899194,24.846726,121.11565
三層派出所,03 3882349,24.849231,121.286554
福安派出所,03 3888767,24.849262,121.286523
三和派出所,03 4794384,24.850447,121.175082
孝義派出所,02  26616139,24.850908,121.5854
大溪分局,03 3887643,24.85784,121.295067
五寮派出所,02  26720283,24.858133,121.359326
內柵派出所,03 3883849,24.859351,121.281231
鳳岡派出所,03 5561769,24.861062,120.963482
頭城分駐所,03 9771125,24.862596,121.826703
福成派出所,03 9771896,24.863677,121.807027
烏來分駐所,02  26616410,24.864773,121.552009
山崎派出所,03 5592736,24.86814,120.99334
龍潭分局,03 4890831,24.868667,121.207523
聖亭派出所,03 4891110,24.868667,121.207523
龍潭派出所,03 4792002,24.870229,121.220251
插角派出所,02  26720121,24.870909,121.406498
新工派出所,03 5981561,24.871625,121.016989
中興派出所,03 4797497,24.872618,121.234345
湖鏡派出所,03 5690646,24.878008,121.058793
南雅派出所,03 3883720,24.879617,121.288686
三元派出所,03 3801040,24.880634,121.265305
忠治派出所,02  26616533,24.884125,121.550434
永福派出所,03 3885802,24.894203,121.324099
新湖分局,03 5902615,24.896272,121.048014
湖口分駐所,03 5997037,24.896272,121.048014
新豐分駐所,03 5594052,24.900817,120.987062
石(石曹)派出所,02  26656343,24.902368,121.719709
龜山派出所,02  26667560,24.902618,121.551766
圳頂派出所,03 3801287,24.904985,121.283753
吉埔派出所,02  26711278,24.906493,121.362294
圳頭派出所,02  26741167,24.906493,121.362294
楊梅分局,03 4755749,24.90681,121.146089
楊梅派出所,03 4782007,24.90681,121.146089
建安派出所,03 4502331,24.909181,121.231126
金溪派出所,02  26656487,24.911249,121.679115
上湖派出所,03 4721721,24.912627,121.094882
平鎮分局,03 4390218,24.913083,121.207522
平鎮派出所,03 4391280,24.913083,121.207522
草湳派出所,03 4826278,24.918609,121.183608
屈尺派出所,02  26667439,24.922709,121.546178
龍岡派出所,03 4503245,24.923915,121.247301
幼獅派出所,03 4643521,24.926612,121.174632
八德派出所,03 3682802,24.929664,121.284814
成福派出所,02  26726097,24.929799,121.420609
中新派出所,03 3801853,24.930391,121.318534
三峽分局,02  26711796,24.930548,121.375235
後湖派出所,03 5680164,24.932118,121.00885
三峽派出所,02  26711254,24.933737,121.369657
富岡派出所,03 4721794,24.935541,121.081828
坪林分駐所,02  26656281,24.935697,121.711482
橫溪派出所,02  86761762,24.937407,121.39547
八德分局,03 3731907,24.938235,121.309067
龍興派出所,03 4285776,24.938492,121.234541
直潭派出所,02  26667324,24.938514,121.534542
大溪派出所,03 9781205,24.939835,121.892125
北勢派出所,03 4282206,24.941926,121.220818
二橋派出所,02  26781225,24.942353,121.338571
宋屋派出所,03 4938381,24.942681,121.206198
北大派出所,02 26730561,24.944194,121.377784
普仁派出所,03 4562912,24.949288,121.243164
埔頂派出所,03 4772044,24.949554,121.118706
廣興派出所,03 3775127,24.95018,121.283772
碧山派出所,02  26651835,24.951644,121.631814
雙城派出所,02  22158566,24.951706,121.487811
中壢分局,03 4221460,24.95409,121.222381
中壢派出所,03 4222030,24.95409,121.222381
柑園派出所,02  26801075,24.954243,121.387877
青潭派出所,02  22171146,24.954576,121.559979
仁愛派出所,03 4563524,24.954868,121.25594
四維派出所,03 3662771,24.955915,121.302802
頂城派出所,02  22118023,24.957006,121.53435
鶯歌分駐所,02  26792024,24.957252,121.353509
頂埔派出所,02 22681220,24.959319,121.418274
大坡派出所,03 4768410,24.959747,121.038001
興國派出所,03 4258325,24.960593,121.208702
漁光派出所,02  26656910,24.963383,121.738911
安康派出所,02  22117337,24.963679,121.514532
大里派出所,03 9781139,24.964252,121.921374
高明派出所,03 3771790,24.96479,121.278718
闊瀨派出所,02  26657041,24.965622,121.771199
鳳鳴派出所,02  26789110,24.96628,121.33244
碧潭派出所,02  29111665,24.967645,121.541669
自強派出所,03 2854333,24.968785,121.259148
大安派出所,03 3644106,24.970389,121.324827
太平派出所,02  24933317,24.971551,121.825826
中福派出所,03 4523093,24.971806,121.233433
內壢派出所,03 4553845,24.972208,121.255749
新屋分駐所,03 4772014,24.972651,121.106543
山佳派出所,02  26806114,24.972672,121.394865
湖山派出所,02  26792474,24.973045,121.346209
土城分局,02  22665929,24.973281,121.442926
土城派出所,02  22656058,24.973281,121.442926
豐田派出所,02  26631975,24.974043,121.687322
新店分局,02  29111170,24.977576,121.549659
大樹派出所,03 3622987,24.977993,121.320215
江陵派出所,02  29112165,24.978666,121.541896
文化派出所,03 4528348,24.978988,121.245265
彭厝派出所,02 86868077,24.979671,121.421662
安和派出所,02  29467780,24.97986,121.51747
清水派出所,02  22615090,24.981296,121.458892
木新派出所,02 29372488,24.982475,121.567291
金城派出所,02 22633152,24.984094,121.463521
南勢派出所,02 29419445,24.986523,121.507936
復興派出所,02 22367140,24.986763,121.547021
指南派出所,02 29382712,24.987321,121.577936
永安派出所,03 4861092,24.987567,121.04485
廣福派出所,02 22701588,24.987697,121.45598
沙崙派出所,02 26812741,24.988407,121.430322
文山一分局,02 29395734,24.988731,121.563697
木柵派出所,02 29397141,24.988731,121.563697
大林派出所,03 3500070,24.988977,121.332334
武陵派出所,03 3364224,24.990036,121.312224
大崙派出所,03 4982260,24.990245,121.180998
秀山派出所,02 29402114,24.990472,121.525984
景安派出所,02 22436955,24.990482,121.502678
龍安派出所,03 3601975,24.990632,121.281049
石碇分駐所,02 26631240,24.991349,121.65761
信義派出所,02  29592317,24.991411,121.461169
龜山分局,03 3292701,24.991464,121.337968
樹林派出所,02  26812034,24.991944,121.425524
景福派出所,03 3578385,24.992644,121.309097
文山二分局,02 29313843,24.992685,121.541039
景美派出所,02 29313459,24.992685,121.541039
烏坵駐在所,082 666112,24.99309,119.458793
中路派出所,03 3578385,24.993245,121.299721
桃園市政府警察局,03 3334400,24.993357,121.302037
錦和派出所,02 22482551,24.993664,121.495572
龜山派出所,03 3202554,24.995314,121.338881
樹林分局,02  26812101,24.996917,121.418834
得和派出所,02  29451969,24.997072,121.520068
中和分局,02 22498950,24.997929,121.501018
青溪派出所,03 3332742,24.998104,121.314322
員山派出所,02 22237295,24.998259,121.480916
中和派出所,02 22492624,24.999686,121.50231
國光派出所,02 29569805,24.999892,121.472611
安平派出所,02 29264139,24.999975,121.511187
新樹派出所,02 22075386,25.00019,121.431413
桃園分局,03 3323811,25.000228,121.298954
埔子派出所,03 3353692,25.000228,121.298954
大觀派出所,02 22752477,25.001248,121.445948
興隆派出所,02 29313842,25.001516,121.551171
深坑分駐所,02  26621658,25.001596,121.615434
吉林派出所,02  24941534,25.002231,121.886153
萬芳派出所,02 22391753,25.002267,121.566815
秀朗派出所,02  29251130,25.003798,121.521061
萬盛派出所,02 29312502,25.0039,121.538926
後埔派出所,02 29615964,25.004733,121.460866
積穗派出所,02 22268955,25.004815,121.480088
東勢格派出所,02  24951379,25.005113,121.749682
永和派出所,02  29214229,25.006231,121.514525
柑腳派出所,02  24931744,25.006516,121.794541
中原派出所,02 22213029,25.007621,121.488302
中民派出所,02  26631254,25.008198,121.672879
永和分局,02  29213119,25.009558,121.520388
中正橋派出所,02  29215119,25.009558,121.520388
楓子林派出所,02  26631285,25.009812,121.642488
新北市政府警察局,02 80725454,25.009864,121.458456
板橋派出所,02 29699664,25.011005,121.456857
羅斯福路派出所,02 27355761,25.011144,121.538029
海山分局,02  29640322,25.011505,121.470005
海山派出所,02  29574370,25.011505,121.470005
板橋分局,02 80725454,25.012427,121.460092
新生派出所,02  29217119,25.01259,121.510259
新坡派出所,03 4981001,25.012628,121.136236
卯澳派出所,02  24991540,25.012919,121.987883
青埔派出所,03 4531468,25.013655,121.210785
思源街派出所,02 23650844,25.015178,121.531905
三多派出所,02  26894108,25.016316,121.404654
福隆派出所,02  24991541,25.016501,121.944754
光華派出所,02  22050330,25.017043,121.426437
臥龍街派出所,02 27334439,25.017953,121.551934
埔墘派出所,02  29616814,25.018712,121.479588
迴龍派出所,02 82006815,25.01909,121.405421
青年路派出所,02 23054219,25.021923,121.502137
貢寮分駐所,02  24941304,25.021932,121.910004
東園街派出所,02 23033247,25.022414,121.498197
新海派出所,02  22586867,25.024044,121.459954
大竹派出所,03 3232704,25.024205,121.259477
泉州街派出所,02 23039915,25.024284,121.51218
廈門街派出所,02 23684427,25.026088,121.517823
平溪分駐所,02  24951063,25.026209,121.738425
吳興街派出所,02 27398997,25.026609,121.563889
和平東路派出所,02 23218073,25.026614,121.530495
文聖派出所,02 22583956,25.026863,121.477388
六張犁派出所,02 27355068,25.027408,121.556239
丹鳳派出所,02  29083119,25.02762,121.414853
同安派出所,03 3568289,25.028042,121.3005
西園路派出所,02 23032943,25.028162,121.495607
平林派出所,02  24931794,25.030241,121.833123
江翠派出所,02  22521225,25.030303,121.46986
莒光派出所,02 23064987,25.031081,121.502684
瑞安街派出所,02 27054164,25.031161,121.54499
中正二分局,02 23751825,25.032087,121.513978
南海路派出所,02 23752835,25.032087,121.513978
福營派出所,02  29017434,25.032261,121.434175
南昌路派出所,02 23218148,25.03232,121.516529
安和路派出所,02 27025232,25.032955,121.552088
信義分局,02 27234739,25.033153,121.567689
三張犁派出所,02 27295561,25.033153,121.567689
華江派出所,02 23061531,25.034287,121.493173
大理街派出所,02 23063468,25.034451,121.498265
康定路派出所,02 23064226,25.035082,121.500333
雙溪分駐所,02  24931059,25.035851,121.865273
新莊分局,02  29924034,25.036143,121.451517
觀音分駐所,03 4732025,25.036462,121.082202
新生南路派出所,02 23258611,25.037737,121.534048
大安分局,02 23259850,25.037831,121.533143
舊莊派出所,02 27822492,25.038474,121.622516
福德街派出所,02 27273424,25.038559,121.576148
龍山派出所,02 23314823,25.038601,121.499611
敦化南路派出所,02 27710400,25.038958,121.543927
仁愛路派出所,02 23212067,25.038981,121.522579
介壽路派出所,02 23113081,25.039984,121.515483
新莊派出所,02  29924018,25.040548,121.464298
南竹派出所,03 3121090,25.041373,121.284793
博愛路派出所,02 23142724,25.041714,121.511561
忠孝東路派出所,02 23218656,25.043651,121.527146
明志派出所,02  29069881,25.043804,121.424793
臺北市政府警察局,02 23313561,25.043871,121.509813
萬華分局,02 23140364,25.045107,121.50287
西門町派出所,02 23312212,25.045126,121.502888
中正一分局,02 23716426,25.045171,121.517355
忠孝西路派出所,02 23142722,25.045171,121.517355
大坑派出所,03 3251310,25.045281,121.314653
十分派出所,02  24958128,25.045632,121.778833
五分埔派出所,02 27653349,25.045664,121.575846
同德派出所,02 27867201,25.046059,121.585609
中港派出所,02  29922112,25.046364,121.451962
蘆竹分局,03 2220307,25.047236,121.293161
草漯派出所,03 4830301,25.047257,121.143011
二重派出所,02  29956794,25.047532,121.475921
橫科派出所,02  26401237,25.047659,121.619226
頭前派出所,02  29921043,25.048249,121.465797
中崙派出所,02 27711239,25.048395,121.545992
長安東路派出所,02 27735207,25.048467,121.54055
松山派出所,02 27670446,25.049836,121.577153
中山一派出所,02 25519321,25.049989,121.521442
中興橋派出所,02  29789513,25.05049,121.490168
中平派出所,02  89919755,25.051312,121.445211
松山分局,02 27782081,25.051549,121.547734
大華派出所,03 3975557,25.051865,121.365456
延平派出所,02 25564340,25.052205,121.511721
中山分局,02 25412491,25.05259,121.522813
建成派出所,02 25585463,25.05275,121.517335
大埔派出所,03 3291735,25.05333,121.381717
南崁派出所,03 3223981,25.053488,121.289955
埔心派出所,03 3811684,25.054319,121.224298
長春路派出所,02 25062289,25.054639,121.536029
南港派出所,02 27830476,25.05493,121.607153
南港分局,02 27839110,25.05526,121.594705
玉成派出所,02 27886958,25.05526,121.594705
潭美派出所,02 27917233,25.055288,121.581579
坪頂派出所,03 3282570,25.055493,121.356906
澳底派出所,02  24901074,25.056397,121.924629
東社派出所,02 27135253,25.056722,121.551394
大同派出所,02  29723261,25.056761,121.496587
昌平派出所,02 85227625,25.057114,121.454906
中山二派出所,02 25517771,25.05764,121.522602
三重分局,02  89818900,25.059149,121.490038
民生西路派出所,02 25538587,25.059229,121.512057
三民派出所,02 27621708,25.059332,121.562894
大同分局,02 25577262,25.059341,121.515027
寧夏路派出所,02 25575011,25.059341,121.515027
民權一派出所,02 25314672,25.059912,121.527951
牡丹派出所,02  24931340,25.060128,121.849924
東山派出所,02  26415841,25.060698,121.698913
光明派出所,02  29860655,25.06085,121.487299
泰山分駐所,02  29097947,25.061674,121.433142
民有派出所,02 27123638,25.061747,121.548059
五工派出所,02  22993050,25.063301,121.457679
大園分局,03 3862009,25.063448,121.195865
大園派出所,03 3862804,25.063448,121.195865
社后派出所,02  26942819,25.063742,121.633432
三重派出所,02  29722553,25.063972,121.50232
文德派出所,02 27944946,25.066597,121.578918
東湖派出所,02 26313350,25.06743,121.612981
建國路派出所,02 25099774,25.067999,121.535997
汐止分局,02  26412610,25.068165,121.660235
汐止派出所,02  26412827,25.068214,121.660278
民族路派出所,02 25926204,25.068789,121.513509
內湖分局,02 27900505,25.069257,121.589581
林口分局,02  26068455,25.070114,121.36357
忠孝派出所,02 26087165,25.070114,121.36357
大有派出所,02  89851911,25.070268,121.475591
康樂派出所,02 26342237,25.070356,121.61837
長泰派出所,02  29735094,25.070775,121.497099
德音派出所,02  82923789,25.071275,121.430461
文化派出所,02  26095766,25.07203,121.376391
圓山派出所,02 25969433,25.072715,121.523734
三菓派出所,03 3936118,25.073179,121.257231
厚德派出所,02  29712064,25.073432,121.492105
重慶北路派出所,02 25944741,25.075454,121.513532
永福派出所,02  22802065,25.076598,121.481305
林口派出所,02  26011630,25.077325,121.393785
長安派出所,02  86482618,25.07754,121.668131
更寮派出所,02  29711126,25.077924,121.458423
港墘派出所,02 87518690,25.078793,121.576678
西湖派出所,02 27987505,25.079119,121.569315
大直派出所,02 25332984,25.079529,121.544093
潮音派出所,03 3862314,25.081155,121.171297
康寧派出所,02 87920061,25.081168,121.597515
延平派出所,02  82821991,25.081745,121.461484
蘆洲派出所,02  22813358,25.081959,121.472735
內湖派出所,02 27931031,25.082079,121.590131
慈福派出所,02  29815111,25.082251,121.487194
和美派出所,02  24901504,25.082961,121.913613
外社派出所,03 3241749,25.083491,121.304183
五股分駐所,02  22916948,25.083508,121.436811
大湖派出所,02 27909521,25.084099,121.601355
集賢派出所,02  82832110,25.084966,121.481697
蘆洲分局,02  22810555,25.085415,121.460907
三民派出所,02  22823775,25.085415,121.460907
百福派出所,02 24512156,25.085511,121.698092
後港派出所,02 28829373,25.087399,121.518034
重陽派出所,02  82879727,25.088289,121.486918
烘內派出所,02  26462564,25.088444,121.646762
社子派出所,02 28122720,25.089656,121.505538
士林分局,02 28813856,25.090731,121.526026
文林派出所,02 28812211,25.090731,121.526026
復興派出所,02 24515602,25.090769,121.668184
猴硐派出所,02  24972527,25.092842,121.832914
第三分局,02 24558843,25.098356,121.715307
七堵派出所,02 24566947,25.098356,121.715307
碇內派出所,02 24576080,25.099735,121.75512
暖暖派出所,02 24572331,25.101084,121.737752
芝山岩派出所,02 28813194,25.101111,121.537858
成州派出所,02  22921296,25.101473,121.45161
竹圍派出所,03 3835089,25.103973,121.243761
四腳亭派出所,02  24576947,25.104219,121.761962
蘭雅派出所,02 28315001,25.106641,121.524724
大寮派出所,02  24972608,25.106876,121.787441
瑞芳分局,02  24062602,25.107605,121.807727
瑞芳派出所,02  24972141,25.107605,121.807727
翠山派出所,02 28411423,25.10811,121.560255
金瓜石派出所,02  24961528,25.108319,121.857757
八堵分駐所,02 24562438,25.108998,121.732033
九份派出所,02  24972609,25.10962,121.843235
石牌派出所,02 28231513,25.109891,121.512502
瑪陵派出所,02 24565085,25.11108,121.686915
長青派出所,02  26451281,25.111155,121.605625
下福派出所,02  26062835,25.117369,121.2909
永明派出所,02 28213110,25.117852,121.516564
永福派出所,02 28616353,25.118376,121.552277
溪山派出所,02 28411110,25.119796,121.584492
瑞濱派出所,02  24972009,25.120999,121.819604
水湳洞派出所,02  24961529,25.12162,121.861926
瑞平派出所,02  26052724,25.122653,121.335844
南榮路派出所,02 24242437,25.122712,121.743152
關渡派出所,02 28583864,25.122971,121.465948
第四分局,02 24225477,25.123191,121.721926
安樂派出所,02 24316212,25.123191,121.721926
鼻頭派出所,02  24911579,25.123747,121.916099
天母派出所,02 28714110,25.125089,121.532944
深澳坑派出所,02 24654170,25.127248,121.785213
東光派出所,02 24656443,25.127505,121.762717
奇岩派出所,02 28954410,25.127642,121.508041
第一分局,02 24222741,25.127705,121.740582
延平街派出所,02 24246950,25.127755,121.748709
第二分局,02 24222742,25.129603,121.75019
信義派出所,02 24211595,25.129603,121.75019
基隆市警察局,02 24248141,25.129623,121.749699
忠二路派出所,02 24241363,25.129673,121.740978
中山派出所,02 24242440,25.131806,121.735261
龍源派出所,02  26182245,25.132293,121.451279
安定派出所,02 24246946,25.132595,121.727451
北投分局,02 28914521,25.13337,121.50132
長安派出所,02 28912029,25.13337,121.50132
信六路派出所,02 24246948,25.135228,121.747335
山仔后派出所,02 28611295,25.137264,121.54633
光明派出所,02 28911647,25.137329,121.504205
竹圍派出所,02  28092831,25.137438,121.459802
八斗子分駐所,02 24692077,25.140342,121.793205
大武崙派出所,02 24310118,25.141625,121.704748
安瀾橋派出所,02 24622435,25.142435,121.760908
大屯派出所,02 28913971,25.145603,121.493244
八里分駐所,02  26101315,25.145974,121.397527
中華路分駐所,02 24246944,25.14687,121.738824
公園派出所,02 28610145,25.148796,121.548593
正濱派出所,02 24621889,25.151393,121.770948
和一路派出所,02 24622752,25.155019,121.765
崁腳派出所,02  24922740,25.160397,121.650779
中山路派出所,02  26212753,25.165218,121.449809
竹子湖派出所,02 28616082,25.167586,121.540211
淡水分局,02 26224330,25.172608,121.43664
中正路派出所,02  26212752,25.172819,121.436592
萬里分駐所,02  24922122,25.178019,121.689572
水碓派出所,02  26212491,25.178278,121.444387
水源派出所,02  26200534,25.185836,121.478061
野柳派出所,02  24922510,25.20381,121.685015
興華派出所,02  26371851,25.204689,121.502124
大鵬派出所,02  24982475,25.212442,121.646699
重光派出所,02  24080470,25.215951,121.603732
興仁派出所,02  26236399,25.217746,121.451841
金山分局,02  24986532,25.220338,121.640696
金山派出所,02  24982009,25.220338,121.640696
賢孝派出所,02  28011505,25.233534,121.454693
後厝派出所,02  26362052,25.250972,121.469291
三芝分駐所,02  26362049,25.257519,121.501124
中角派出所,02  24982136,25.263551,121.630742
乾華派出所,02  26381274,25.279795,121.608433
老梅派出所,02  26381253,25.288991,121.54558
石門分駐所,02  26381244,25.29081,121.567419
東莒派出所,083 689046,25.959635,119.971255
莒光警察所,083 688153,25.975456,119.940093
福建省連江縣警察局,083 625859,26.157386,119.951079
南竿警察所,083 622471,26.157386,119.951079
西區派出所,083 625368,26.159329,119.919473
北竿警察所,083 655234,26.225321,119.997035
東引警察所,083 677204,26.367687,120.489698
